Left,Right,Label
0.003591545,0.08465731,1
0.038535199,0.593543813,1
0.245779551,-0.165760152,1
0,0.562434017,1
0.038782097,0.374849534,1
0.246860176,0.044030895,1
0.133130328,0.006596235,1
0.919424492,0.009672724,1
0.375607503,0.058947497,1
0.150853587,0.311905126,1
1,0.014857076,1
0.269220099,0.580898004,1
0.421222169,0.059131821,1
0.335213198,0.595610192,1
0.28081935,0.281253166,1
0.552790446,1.155708242,1
0.555985539,0.647203522,1
1,0.856179001,1
0,0.120448708,1
0.214953929,0.844326111,1
0.152814073,0.054180478,1
0.204922494,0.389285731,1
0.466983586,0.259813083,1
0.141289672,0.12642026,1
0.125778288,0.051305627,1
0.481329226,0.21770847,1
1,0.213159677,1
0.122056285,0.181867163,1
0.382047477,0.244567202,1
0.040054206,0.100917511,1
0,0.298235868,1
0.051046874,0.106311123,1
0.806899992,0.183340928,1
0.111052896,0.152410763,1
0,0.351287318,1
0.670242534,0.330548431,1
0.361429646,0.168402523,1
0.5973766,0.010645665,1
0.253275031,0.070253947,1
0.107240772,0.587356708,1
1,0.095421543,1
0.634323846,0.060138667,1
0.54114565,0.189830082,1
0.209211044,0.297533728,1
0.458662377,0.601512835,1
0.65871339,0.207688094,1
0.337134483,0.293549888,1
0.3798,0.437981365,1
0.504490404,0.794914756,1
0.457,0.31651828,1
0.350737398,0.182381282,1
1.879,1.44107925,1
0.203370733,0.204128371,1
0.1999,0.233246768,1
0.88,0.401981593,1
1.66,1.441410703,1
0.658837204,0.629480304,1
0.356678818,0.190104068,1
0.367897169,0.077610145,1
0.953988363,1.311609949,1
0.439047351,0.855679093,1
0.552340136,0.532694673,1
0.538761281,0.508021416,1
1,0.515199976,1
0.509870834,0.547389298,1
0,0.529093458,1
0.644503025,0.059754896,1
0.656106743,0.530598562,1
0.33651022,0.044030822,1
0.283592951,-0.175996167,1
0.880696031,0.320758363,1
0.637768763,0.413677607,1
0.886485138,0.922130811,1
1,0.300768738,1
0.692437596,-0.026874668,1
0.618882235,0.736301663,1
0.972118697,0.737710098,1
0.546263557,0.528548093,1
0.411698518,0.287685074,1
0.344305997,0.309172675,1
0,0.056327973,1
0.173764951,0.074922069,1
0.659154818,0.898486807,1
0.14049448,0.769053146,1
0.530882168,0.411492686,1
0.438385084,0.74577419,1
0.860372331,0.29331641,1
0.855568681,0.898100532,1
1.1246,0,1
1.99,1.842762505,1
0.995348105,0.465448687,1
0.514702033,0.045203001,1
0.103784115,0.551710805,1
0.230975414,0.022270536,1
0.001910013,0.649407838,1
1,0.040633502,1
0.663522124,-0.040564995,1
0.116312997,0.558593082,1
0.491348669,-0.081510534,1
0.383978554,0.058468997,1
0.720695412,0.060401784,1
0.154595753,0.229738022,1
0,0.416012765,1
0.64464539,0.186968926,1
0.568433041,0.013466002,1
0.454100409,0.128518879,1
0.557804249,-0.062456681,1
0.128395662,0.165024864,1
1,0.823460886,1
0.419463824,0.038645824,1
0.755928524,0.926171734,1
0.966427597,0.389582623,1
1.477,1.202931876,1
0.596,0.744213912,1
0.6147,0.461604786,1
0.524325109,1.119798479,1
0.118031992,1.153401624,1
0.996,0.880772937,1
1.7222,1.462709137,1
0.883,0.910092832,1
0.309372552,0.91023218,0
0.302866336,0.060467716,0
0.604948751,0.90152018,0
0.305492183,0.777361974,0
0.153847586,0.450560683,0
0,0.742763554,0
1,0.696903057,0
0.600538954,0.794193679,0
0.271824892,0.100308006,0
0.097812753,0.55321893,0
0.946324228,0.70909696,0
0.526249379,0.895046991,0
0.022528792,0.795755677,0
0.707758017,1.101773205,0
0.643830394,0.444728316,0
0.524586014,1.025901612,0
0.426357457,1.351353114,0
1,1.308535633,0
0.063527981,1.536959739,0
0.462221343,1.742656864,0
0.659684017,0.229616207,0
0.963743666,1.387626768,0
0,1.389244555,0
0.229301723,1.064653794,0
0.623451192,1.74345528,0
0.458538703,1.420596765,0
0,0.31945141,0
0.08917845,0.468160754,0
0.667302593,0.285621694,0
0.076213553,0.203162512,0
0.182077639,0.54038183,0
0.209888305,0.159607588,0
0.753491033,0.809747253,0
0.748787891,0.217536169,0
